name,latitude,longitude
N.OGCH,38.9801,140.4952
N.YWTH,38.9701,140.0333
N.TZWH,38.7498,140.178
N.MGMH,38.7132,140.5546
N.FGTH,38.7107,140.3744
N.TCKH,38.6357,140.0055
N.ASAH,38.4704,139.7606
N.NKEH,38.4257,140.1249
N.NKWH,38.386,139.9916
N.TDOH,38.3841,140.3805
N.YGTH,38.269,140.2577
N.NYOH,38.1035,140.1552
N.KMYH,38.0813,140.2978
N.ONIH,37.9881,139.8016
N.THTH,37.9633,140.1836
N.YNZH,37.896,140.0278
N.FKSH,37.7642,140.3766
N.NAZH,37.7565,139.715
N.ATKH,37.7317,139.8821
N.KMAH,37.6636,140.5974
N.INWH,37.6461,140.1735
N.TSTH,37.6078,139.7533
N.NMEH,37.4911,140.9871
N.MRUH,37.4894,140.538
N.MKJH,37.4703,140.7227
N.ATDH,37.4508,139.8126
N.KRYH,37.353,140.4264
N.TDMH,37.3421,139.3147
N.NNMH,37.2822,140.2144
N.SMGH,37.2544,139.8725
N.HTAH,37.2169,140.5702
N.YBKH,37.2006,140.3386
N.INAH,37.1722,139.5199
N.NGUH,37.1616,140.093
N.IWEH,37.0264,140.9702
N.HMTH,37.0103,139.3755
N.IWWH,36.9951,140.5853
N.KI2H,36.8809,140.6545
N.KIBH,36.8808,140.6544
N.DGOH,36.8369,140.3181
N.THGH,36.7955,140.575
N.JUOH,36.6922,140.5484
N.YMAH,36.6405,140.3976
N.GZNH,36.5566,140.3013
N.JHKH,36.439,140.3559
N.IWSH,36.3701,140.1401
N.NMTH,36.3654,140.5805
N.HTKH,36.3631,140.6198
N.YSTH,36.2557,140.2028
N.TSKH,36.2137,140.0893
N.TYOH,36.1187,140.5621
N.ISGH,36.1112,139.9889
N.KGRH,36.0864,140.314
N.TBSH,35.9814,140.105
N.EDSH,35.9509,140.3302
N.MORH,35.9451,140.0015
N.HASH,35.8291,140.7322
N.HA2H,35.8284,140.7323
N.FJWH,36.9864,139.6929
N.FJ2H,36.9853,139.6922
N.KYEH,36.8828,139.6459
N.KYWH,36.8817,139.4534
N.YITH,36.8625,139.8364
N.OTWH,36.8578,140.0225
N.BTOH,36.7342,140.1781
N.IICH,36.7084,139.7694
N.UJEH,36.6959,139.9842
N.ASOH,36.6343,139.4614
N.UMYH,36.5595,139.8637
N.MOTH,36.5566,140.2134
N.AWNH,36.5509,139.6154
N.HGAH,36.548,140.0751
N.MOKH,36.4458,139.9509
N.OHRH,36.3599,139.6877
N.MN2H,36.862,139.0627
N.MNKH,36.8415,139.0556
N.TNEH,36.6998,139.2104
N.TAYH,36.6213,138.9069
N.OMMH,36.5003,139.318
N.MDRH,36.4931,139.3219
N.TUMH,36.4917,138.5244
N.HRNH,36.4632,138.8531
N.ISSH,36.3143,139.1847
N.TMOH,36.2862,138.921
N.TBYH,36.2441,139.5443
N.SMNH,36.2356,138.7291
N.MNBH,36.1443,138.9142
N.KNAH,36.144,138.9129
N.KIZH,36.1509,139.0504
N.KWTH,36.1131,139.2894
N.MNAH,36.0715,139.0993
N.YMIH,36.0509,139.4364
N.OGOH,36.0274,138.9691
N.TO2H,35.9969,139.2194
N.TOIH,35.9964,139.2191
N.IWTH,35.929,139.7349
N.NGRH,35.9118,139.1485
N.HDKH,35.899,139.3843
N.HHNH,35.8637,139.2726
N.TKRH,35.8028,139.5353
N.NRTH,35.8307,140.298
N.SHMH,35.7966,140.0206
N.CH2H,35.7342,140.823
N.YKIH,35.7218,140.5055
N.SSAH,35.7215,140.5046
N.CHSH,35.7056,140.8517
N.HSNH,35.5943,140.5107
N.CBAH,35.5457,140.2417
N.ICHH,35.4042,140.1736
N.FUTH,35.3445,139.8554
N.YROH,35.2867,140.1529
